,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.22853166609738956,0.4950452850540828,0.3753292318878372,0.5059517837054252,0.12929588775631573,R
1,0.731955361255276,0.4708160609838207,0.7308801932091181,0.8719547495242616,0.4632834313640467,M
2,0.707853791588752,0.9358692811593425,0.5593664412940639,0.8353629794259778,0.4923580985054692,M
3,0.9985420112371168,0.5345286095952511,0.4960437986292828,0.7073444602062029,0.5388527543091,M
4,0.9426197589480545,0.5073646297901464,0.4542120737234532,0.9049051783502804,0.9210937161102406,M
5,0.26297844745289767,0.46963589643196335,0.5618891153979444,0.44551906390554663,0.5568338490281158,R
6,0.664199158009753,0.671600727076444,0.4966145986412346,0.7682590622376617,0.4187321925264467,M
7,0.9981739175492566,0.922620017207032,0.5249055804655458,0.9003816583525772,0.6659650107354519,M
8,0.13179910036473336,0.4790491383736109,0.0428401834611143,0.14776055146338984,0.07517589177615196,R
9,0.5708279740529267,0.2834111264851956,0.5505715296681184,0.03472307461758783,0.03999937124457643,R
10,0.573676592284259,0.5674652507499947,0.5206601051245787,0.998651433772834,0.7397960654628215,M
11,0.7581090321178519,0.5110262336136624,0.46510352290440826,0.8680217810838773,0.9872974258591809,M
12,0.022976647727959734,0.02230698188977865,0.5103652402161415,0.07516276513299233,0.02211370083572779,R
13,0.09176083667055404,0.07659780360522409,0.029938209063654884,0.3696008621576558,0.38795181134336537,R
14,0.010723159847851445,0.16921359941394803,0.18408940420243497,0.2759610856462465,0.46253061194831885,R
15,0.389241095402924,0.040568349084933245,0.2095088574108353,0.45484178844871986,0.18751432134849083,R
16,0.1424787174455024,0.29557114773806614,0.32891295075696686,0.3732465216935421,0.10674779344404889,R
17,0.6925820776141883,0.5563657077268491,0.7091117409775378,0.8314188532141091,0.45017383378858433,M
18,0.8253993490514544,0.5558732815107232,0.531577168714644,0.4529308963028863,0.7061965791079623,M
19,0.1420397973245185,0.2650970729864945,0.5304231823648444,0.508341564566681,0.44245272040574135,R
20,0.5534990688902717,0.34055267348070284,0.46322717177043066,0.23149473399351475,0.4036184474637912,R
21,0.8078454928533723,0.6785387531002816,0.874267894929048,0.9355692919283036,0.9008272448661706,M
22,0.5362531537020766,0.6010846115065062,0.7796175892285728,0.5086715380225846,0.4396558411840471,M
23,0.8780356025635531,0.4255524317934534,0.43512555255204327,0.6459287753541506,0.8790453040392816,M
24,0.7993700537873754,0.9180064159787868,0.5559841010896188,0.45520500566225647,0.8173073452405841,M
25,0.655603564145908,0.5624771095651742,0.6693568338499789,0.8779293320078363,0.4429678606909661,M
26,0.3602489419084895,0.21712352808733734,0.3861174930377408,0.16429633441882546,0.5003465013060754,R
27,0.9215090760249227,0.6987410998239184,0.942495351741494,0.6452069776219175,0.5792628813437859,M
28,0.7023511233084031,0.6538400006794889,0.7323639372471613,0.5178426394019277,0.4733678529203754,M
29,0.9287449596666697,0.665658601016139,0.7787920674610579,0.6773308790090555,0.5038717204634491,M
30,0.5147947397079145,0.5523307695930324,0.66134344272058,0.9155910572507739,0.6050925964474279,M
31,0.5424737462011316,0.6324441075409027,0.7118235146138995,0.5507397450531286,0.9124620366147382,M
32,0.4486908561185237,0.6553929915148635,0.6812041154317454,0.9574491708030561,0.5443621710898504,M
33,0.18086349949499106,0.09983469847219525,0.4130805873848524,0.2536636297247506,0.5692011129773292,R
34,0.4219115653130987,0.6239045946733421,0.9560215186969205,0.9386430916902313,0.8508064787143105,M
35,0.44099202259329295,0.5584742666658906,0.29640851456997497,0.0061219970903944885,0.5089628884889432,R
36,0.9664616793050622,0.6435568228174056,0.6017493427088709,0.5825712542864995,0.7025446578195189,M
37,0.4908727277130713,0.904564208668162,0.5210652620815963,0.8687806407489426,0.6616585998817851,M
38,0.5389926857137595,0.7437447331453687,0.7158859376320694,0.5719041872241049,0.9088115569509704,M
39,0.09182210064083902,0.4461433563414141,0.19146807418446624,0.34562257827750453,0.4690092684274822,R
40,0.595759497035115,0.6259844069072609,0.913066421011455,0.6919698403633241,0.7190867220761451,M
41,0.15010652693157767,0.5255989157997161,0.22514656851175008,0.2657518245293738,0.34048454221338326,R
42,0.28093560223878233,0.027160946533118874,0.02299092596695401,0.03136959781612645,0.32714621165560676,R
43,0.7077685705014349,0.5784654200753824,0.7649253775334383,0.6902570779559789,0.6560638640383536,M
44,0.02121087390790395,0.39739631295700895,0.07697985100886656,0.5720326451261499,0.1278545147342268,R
45,0.5341589474364815,0.17700001176212077,0.3029740295766716,0.24730517787743367,0.27172528565952414,R
46,0.29216755550379453,0.4484357120166242,0.08566994953539771,0.5017194267730146,0.540500074368415,R
47,0.44508913767699537,0.5767306307531592,0.9310665506144904,0.4453542396227239,0.6313657566013171,M
48,0.47507147225384777,0.5659118777265095,0.8049420867769743,0.6234646602598328,0.8576252632497801,M
49,0.4092756827061069,0.05156856794019714,0.48270804808802775,0.3901857316867376,0.038881698766989395,R
50,0.11756640561429246,0.5413882301637551,0.2733266001372097,0.2661530069001015,0.5549569926284401,R
51,0.4172921891228424,0.746626835834991,0.9560542816558291,0.8688817218322429,0.47345930136249353,M
52,0.5038364664739587,0.518069404637924,0.5274662051437253,0.32816661828711374,0.5536550458353894,R
53,0.2039735023946429,0.5096956017713052,0.037527278375572404,0.27397747512101905,0.29101991850700065,R
54,0.2556797659933978,0.23812982545438155,0.5296566583016521,0.2914179698184969,0.06107537437787249,R
55,0.8284922604392784,0.5476392807677355,0.6829795374896865,0.9294546254508833,0.6503879101398584,M
56,0.13254875171413255,0.29088046230890485,0.05141468368315485,0.5466126328019753,0.5192096405357729,R
